"","pv5math","gender","escs","video_games","interest_broad_science","test_anxiety","ISCED_orient","school_id"
"1",-0.0904855598866529,0,-0.3447,1,0.5987,0.1359,0,1
"2",0.638688178982432,0,0.6827,0,-0.2052,1.8135,0,1
"3",0.943514863858353,0,1.3603,0,-0.4066,0.7186,0,1
"4",-0.53551013517337,0,0.103,1,0.9248,0.7721,0,1
"5",0.158628262805218,0,-0.0763,0,0.1976,0.206,0,1
"6",-0.549031357407973,0,1.5589,0,0.642,1.3418,0,1
"7",-0.858674129802239,0,1.2704,0,0.6026,0.5769,0,1
"8",-0.531123651705957,0,0.8193,0,1.1786,0.8425,0,1
"9",0.594337213408562,0,1.1142,0,-0.1178,0.219,0,1
"10",0.370242173998611,0,1.5692,0,0.8456,-0.8455,0,1
"11",0.0312958831828652,0,0.0385,0,0.0177,1.0461,0,1
"12",0.770644454837186,1,-0.3774,0,0.913,0.2495,0,1
"13",-1.27853295200014,1,-0.5463,1,-0.0258,0.2626,0,1
"14",-0.316999948425538,1,-0.3429,1,-0.2052,2.5493,0,1
"15",-0.315417196658945,1,0.0544,1,-0.1239,0.2594,0,1
"16",0.556079842136075,1,1.4974,1,-0.4403,-0.0345,0,1
"17",-0.150223133705752,1,0.3769,1,0.7048,-0.1679,0,1
"18",0.26299943644222,1,1.5413,1,-2.4981,0.0752,0,1
"19",1.07623990485688,0,1.1968,0,-0.7742,0.3964,0,1
"20",0.811128983952666,1,1.2394,1,0.1911,1.1311,0,1
"21",-0.696204660961537,0,1.1294,1,-0.0034,0.7721,0,1
"22",0.0212454094650039,0,0.5063,0,0.3664,0.5175,0,1
"23",-0.539421793110806,0,0.1462,0,0.3315,1.4226,0,1
"24",-0.68997540222302,0,-0.0645,0,0.0795,2.5493,0,1
"25",0.816747752724068,1,0.3537,1,0.1042,0.5209,0,1
"26",1.24350285047641,0,1.4833,1,1.0152,0.8425,0,1
"27",1.2823141848672,1,0.4177,1,0.6584,1.0016,0,1
"28",0.796454614002403,1,1.506,1,0.8104,0.6725,0,1
"29",-0.706130775612023,0,-0.2046,1,-0.3744,0.9908,1,2
"37",-0.341770013572708,1,-2.8547,0,-0.2926,-0.4671,1,2
"42",0.329113238806735,1,-0.0936,0,-2.4981,-0.6871,1,2
"43",0.289103535221233,1,-0.2444,1,0.3689,-1.3753,1,2
"44",-0.704796741980181,1,-0.2695,1,-0.0908,1.1924,1,2
"46",0.367291472490893,1,-0.4769,1,-1.0968,-0.3386,1,2
"50",-1.7186283860709,0,0.0552,1,-0.475,0.9715,0,3
"51",-0.185450665882193,1,-0.9816,1,0.0159,0.4517,0,3
"52",0.252168892210824,1,-0.9054,1,-0.2112,0.4752,0,3
"53",0.721239988979983,0,-0.7012,0,0.438,1.8135,0,3
"54",1.50405770736679,0,-0.5246,1,0.6098,-0.2729,0,3
