"","gender","index_immigration_status","home_possessions","cultural_possessions","home_edu_resources","escs","video_games","sport_after_school","read_books","internet_social","meet_friends","study_before_school","study_after_school","learning_time_math","learning_time_lang","learning_time_science","disciplinari_climate","subjective_well_being","enjoy_science","interest_broad_science","intrum_motiv_science","motivat","test_anxiety","education_parents_medium","education_parents_high","pv5math"
"27",1,1,46274,0.7777,1.1563,0.4177,1,1,1,1,1,0,1,3,4,0.416666666666667,1.8837,0.3171,2.1635,0.6584,1.7359,0.959,1.0016,0,1,620.409
"28",1,1,46843,2.1655,1.1563,1.506,1,1,1,1,0,1,1,5,1,0.2,-0.6051,0.6642,0.5094,0.8104,0.3708,-0.2803,0.6725,0,1,577.433
"37",1,0,19422,0.0445,-1.9024,-2.8547,0,1,1,1,1,1,1,4.16666666666667,5,0.35,-0.7439,-0.604,-0.0547,-0.2926,0.317,-0.5996,-0.4671,0,0,476.753
"42",1,1,34802,-0.4945,-0.1108,-0.0936,0,1,0,1,1,1,1,3.33333333333333,3.33333333333333,0.5,-0.2683,-0.4725,-0.8208,-2.4981,-0.7778,-1.0795,-0.6871,0,1,536.095
"43",1,1,36014,-1.3465,0.0321,-0.2444,1,1,1,1,1,1,1,3.33333333333333,4.16666666666667,0.633333333333333,-0.7185,-0.3142,-0.3522,0.3689,1.7359,-0.0852,-1.3753,1,0,532.556
"44",1,1,33389,0.2834,-0.1598,-0.2695,1,1,0,1,1,1,1,3.33333333333333,5,1.16666666666667,-0.8959,-0.9585,-0.1379,-0.0908,0.0125,-0.2671,1.1924,0,1,444.642
"46",1,1,30612,-0.7039,-1.0418,-0.4769,1,0,0,1,1,1,0,3.33333333333333,2.5,1.08333333333333,-0.6051,-0.1144,-2.1154,-1.0968,-1.4463,-2.2453,-0.3386,0,0,539.472
"50",0,1,31877,-0.522,-1.0348,0.0552,1,0,0,1,1,1,1,5,4,0.416666666666667,0.5529,-1.3612,-0.2121,-0.475,0.7648,-1.4049,0.9715,1,0,354.965
"51",1,1,24413,-0.4343,-0.1108,-0.9816,1,1,1,1,1,0,1,4.16666666666667,4.16666666666667,0.5,-1.0246,-0.9105,0.5094,0.0159,1.356,-0.4495,0.4517,1,0,490.58
"53",0,1,36037,0.7777,1.1563,-0.7012,0,0,0,0,1,0,1,4.58333333333333,3.66666666666667,0.383333333333333,-0.2683,-0.6239,1.6403,0.438,1.7359,0.4631,1.8135,1,0,570.78
"54",0,1,38031,2.1655,-0.1108,-0.5246,1,0,1,1,1,1,1,4.58333333333333,3.66666666666667,0.383333333333333,0.8934,0.2661,0.5094,0.6098,0.3708,-0.5086,-0.2729,1,0,640.023
"55",0,1,38830,-0.0652,1.1563,0.3107,0,1,1,1,1,0,1,4.58333333333333,3.66666666666667,0.383333333333333,-0.5436,-0.7263,0.5094,-0.2805,-0.7778,-0.8313,0.3997,1,0,544.418
"56",0,1,54646,1.0478,1.1563,1.7393,1,1,1,1,1,1,1,4.16666666666667,3.33333333333333,0.35,-0.6079,-1.5221,-0.1833,-0.2052,0.3708,0.4094,2.5493,0,1,575.152
"57",0,1,39813,1.0478,-0.1108,0.3468,1,0,1,1,0,0,1,3.66666666666667,3.66666666666667,0.383333333333333,0.0039,-0.3776,1.3705,1.5043,1.7359,1.0385,-0.4071,1,0,729.008
"58",0,1,35718,0.1508,1.1563,1.0765,0,0,1,0,1,0,1,4,4,0.416666666666667,1.8837,-0.3381,-2.1154,0.5305,0.3708,0.2937,2.5493,0,1,522.502
"60",1,1,47306,0.7777,1.1563,1.5231,1,1,1,1,1,1,1,5.5,3.66666666666667,0.383333333333333,0.6605,0.1643,0.5094,0.3043,0.3708,-0.7662,-0.4671,0,1,551.149
"61",1,1,31305,0.1919,-0.1108,-0.1932,0,1,1,1,1,1,1,4.58333333333333,3.66666666666667,0.383333333333333,0.5529,-0.2338,1.1662,-0.0034,-0.2552,0.1111,-0.4671,1,0,668.84
"62",1,1,37257,0.2162,1.1563,0.8851,0,1,1,0,1,1,1,5,4,0.416666666666667,0.8934,0.6642,2.1635,1.0195,1.7359,0.2168,-1.0789,0,1,604.999
"63",1,1,31169,-0.3331,1.1563,-1.4896,1,1,0,0,1,1,1,4.58333333333333,3.66666666666667,0.383333333333333,0.2884,-0.4725,-0.8208,-0.3744,0.0125,-0.4495,0.206,0,0,543.025
"64",1,1,45859,1.0478,1.1563,0.383,1,1,1,1,1,0,1,1.83333333333333,2.75,0.383333333333333,1.1387,-0.5317,0.5094,0.6496,0.7648,-0.1163,-0.0374,1,0,674.696
"66",1,1,45875,0.7777,1.1563,1.0572,1,1,0,1,1,1,1,4.58333333333333,3.66666666666667,0.383333333333333,0.8934,-0.1613,0.5094,0.5305,0.3708,-0.4849,-0.3455,0,1,593.825
"68",0,1,34372,0.2162,1.1563,0.6345,1,1,0,1,1,0,1,5,3,0.866666666666667,0.0039,2.5915,0.5094,0.5305,0.3708,1.0385,2.5493,0,1,527.245
"69",0,1,60353,2.1655,1.1563,2.2591,1,1,1,1,1,1,1,6,5,0.416666666666667,0.0039,1.0676,2.1635,0.6584,1.7359,0.5952,-0.308,0,1,530.356
"70",0,1,51684,1.0478,1.1563,0.7157,0,1,0,1,1,0,1,4.58333333333333,6.41666666666667,0.383333333333333,1.3818,0.7701,-0.9164,1.2758,1.7359,-0.1756,2.5493,0,1,527.729
"71",0,1,33211,-0.4504,-0.1108,0.6538,0,1,1,1,1,0,1,5,4,0.416666666666667,0.5529,0.6642,0.5094,0.9248,0.3708,-0.4495,0.5209,0,1,526.476
"72",0,1,29689,-0.1892,1.1563,-1.0274,0,1,0,1,1,1,1,4,4,0.716666666666667,-0.1502,0.412,0.5094,0.2913,1.0728,0.6381,0.7186,0,0,577.067
"73",1,1,41123,2.1655,1.1563,-1.2477,0,1,1,1,1,0,1,4,4,0.716666666666667,0.2884,0.6642,1.1662,0.5305,0.0125,0.8598,0.5175,0,0,423.255
"74",1,1,37715,0.7777,1.1563,-0.0258,1,1,0,1,0,0,0,4,4,0.716666666666667,0.0091,0.6642,-0.5781,-0.352,0.3708,0.1717,-0.6788,0,1,367.948
"75",1,1,46438,0.4793,1.1563,0.7556,1,1,1,1,1,1,1,2.5,2,0.2,1.1892,0.5423,0.5094,1.4741,1.7359,-0.1624,0.7291,1,0,489.245
"76",1,1,40801,1.0478,1.1563,1.098,1,1,1,1,1,1,1,6,5,0.416666666666667,1.8837,1.0269,0.5094,0.0566,0.3708,0.4094,0.2822,0,1,591.64
"77",1,1,40245,0.1376,-0.1108,0.0878,1,1,1,1,1,1,1,5,7,0.416666666666667,1.3818,1.0269,0.5094,0.2335,0.3708,-1.0351,-0.308,0,1,474.117
"78",1,1,44985,0.2162,0.0321,1.0245,1,1,1,1,1,1,1,4.58333333333333,4.58333333333333,0.383333333333333,0.9383,0.6642,2.1635,1.3588,0.3708,1.8543,2.5493,0,1,515.821
"79",1,1,37803,0.4793,1.1563,0.4919,1,0,0,1,1,0,0,4.58333333333333,3.66666666666667,0.383333333333333,-0.7393,0.3171,1.0938,0.8083,1.0728,-0.2908,1.8135,0,1,587.211
"80",1,1,39928,0.7777,-0.1639,-0.0221,1,0,1,1,0,1,1,5,4,0.416666666666667,1.1892,0.5901,2.1635,1.0787,1.356,-0.3832,1.7952,1,0,451.938
"81",1,1,40044,0.6093,1.1563,1.3388,1,0,0,1,1,1,1,4.58333333333333,3.66666666666667,0.383333333333333,0.2829,0.9646,-0.119,0.1738,1.3336,-0.2111,-0.2616,0,1,552.261
"83",0,1,55748,0.7777,1.1563,1.7255,1,1,0,1,1,1,1,4,4,0.583333333333333,0.0039,0.6642,0.5094,-0.2052,1.7359,-1.0351,0.7186,0,1,494.331
"84",0,1,49933,2.1655,1.1563,0.8842,1,0,0,1,1,0,0,4,5,0.583333333333333,-1.1805,-0.3381,-0.8208,-0.2926,-0.494,0.2405,0.7754,1,0,579.125
"85",0,1,39234,0.6093,0.0321,1.1231,0,0,1,1,1,0,1,4,4,0.866666666666667,-1.9061,-1.8593,-0.1053,0.1894,0.8732,-0.8107,1.3971,0,1,543.215
"86",1,1,44218,0.3005,-0.6303,0.7277,1,0,0,1,0,1,1,4,4,0.583333333333333,1.1892,0.0248,2.1635,1.6345,1.7359,1.8543,2.5493,0,1,471.945
"87",1,1,43534,2.1655,1.1563,-0.3637,1,0,0,1,1,0,1,5,8,0.716666666666667,1.8837,-0.3381,0.8061,0.438,0.8155,0.8748,0.7993,1,0,529.299
"89",1,1,39547,0.6093,1.1563,0.0622,0,1,1,1,1,0,1,4,5,0.583333333333333,0.0039,0.6642,0.5094,0.1042,1.1325,-0.1651,-0.7236,0,1,460.441
"92",0,1,38513,1.0478,-0.1108,1.2619,0,1,0,1,1,1,1,4.16666666666667,3.33333333333333,0.35,-0.2407,0.4438,0.0992,-0.7324,0.415,-0.4468,0.4785,0,1,496.945
"94",0,1,36571,-0.5975,-0.1108,-1.2084,1,1,0,0,1,0,0,3.33333333333333,5,0.35,0.0039,0.0248,0.5094,-0.0369,1.0728,-0.6582,1.4394,0,0,412.427
"95",1,1,31011,-1.2278,-0.6303,-1.516,1,1,1,0,0,0,1,4.58333333333333,5.5,0.383333333333333,1.8837,-0.1144,-2.1154,-2.4981,1.7359,-0.4849,0.6725,0,0,176.482
"96",1,1,35978,0.7777,1.1563,0.7761,1,1,1,1,1,1,1,3.75,4.5,0.316666666666667,-1.1058,-0.5878,-2.1154,-2.5813,1.7359,-0.7662,1.1311,0,1,317.245
"98",1,1,34800,-0.6174,-0.1108,-0.106,1,0,0,1,1,1,1,2.75,3.66666666666667,0.383333333333333,0.1099,0.1643,-0.576,0.2664,1.0728,-0.2315,0.7291,1,0,477.381
"99",1,1,37720,0.0636,1.1563,-0.0277,1,1,0,1,1,1,1,5,6.66666666666667,0.35,-1.0005,0.6642,0.8433,0.0795,-0.3035,-0.5996,0.5209,0,1,379.72
"101",1,1,40083,0.7777,1.1563,0.0674,0,0,0,1,1,1,1,3.33333333333333,3.33333333333333,0.35,-0.8722,-0.2541,0.5094,0.324,0.3708,-0.1651,0.8425,1,0,537.454
"104",0,1,15494,-1.6287,-1.0364,-2.2112,0,0,0,1,1,1,0,3.66666666666667,2.75,0.383333333333333,0.0039,0.4638,-0.3398,0.5305,0.3708,-0.5512,0.7993,0,0,321.81
"105",0,1,29369,-0.831,-1.1375,0.0043,0,1,0,1,1,0,0,3.33333333333333,5,0.35,-1.1531,-0.502,-0.3892,-0.7097,-0.5375,-0.1519,1.4394,1,0,392.749
"106",1,1,49493,0.1157,1.1563,-0.8367,1,1,1,0,1,1,1,3.33333333333333,3.33333333333333,0.35,0.0039,0.3171,-0.1522,0.5305,0.3708,-0.8771,-0.478,0,0,451.876
"108",1,1,39017,0.6093,-0.1639,-0.1433,0,1,0,0,0,0,0,3.66666666666667,3.66666666666667,0.383333333333333,-0.3809,-0.0251,-0.2145,0.6385,-0.0948,-0.4849,-0.6237,0,1,417.036
"110",1,1,36631,0.2737,1.1563,-1.4335,0,1,0,1,1,1,1,3.66666666666667,3.66666666666667,0.383333333333333,0.1099,-0.4838,0.0992,0.8721,1.0558,-0.1519,1.8135,0,0,384.66
"111",1,1,40645,0.7777,1.1563,-0.5112,1,1,1,1,1,0,1,2.25,3,0.316666666666667,0.0039,0.0248,0.5094,0.6496,0.3708,-0.4495,0.5209,1,0,549.195
"112",1,1,42365,-0.4365,1.1563,-0.4479,1,1,1,1,1,1,1,3.66666666666667,5.5,0.816666666666667,-0.7211,-0.9846,0.5094,0.6496,0.3708,0.1717,1.0461,1,0,509.772
"113",1,1,36832,-1.2278,-0.1507,-0.6513,0,1,0,0,1,1,0,3.66666666666667,5.5,0.383333333333333,-1.2121,-0.1144,-0.3237,1.1878,-0.0575,-0.1651,1.0461,1,0,397.455
"114",1,1,35373,0.2737,-0.1108,-1.2318,1,0,1,1,1,1,1,4.16666666666667,5.83333333333333,0.35,-1.4259,0.1258,0.5852,-0.3744,-0.0575,-0.2006,1.491,0,0,425.02
"115",0,1,31534,-0.4504,-0.1108,-1.1869,0,0,1,1,1,1,1,5,3.33333333333333,0.35,0.4046,-0.2239,0.0992,-0.0848,0.3708,-1.5087,1.7952,0,0,526.341
"116",0,1,33554,-0.5975,1.1563,-1.5259,0,0,1,1,1,1,0,4.58333333333333,5.5,0.533333333333333,-0.9727,-0.9213,-2.1154,-0.7485,-0.7778,0.705,1.7184,0,0,450.305
"118",1,1,28610,-0.7273,-0.1108,0.8566,1,1,0,1,1,0,1,4.58333333333333,5.5,0.383333333333333,0.0039,-0.3381,0.5094,0.706,0.3708,-1.3753,0.0244,0,1,411.434
"119",1,1,35335,2.1655,-0.7026,0.8972,1,1,0,1,1,0,0,3.33333333333333,3.33333333333333,0.35,-1.0005,-0.5776,-2.1154,-0.237,-0.1385,-1.0795,-1.1801,0,1,487.239
"120",1,1,48953,0.6062,1.1563,1.6044,1,1,0,1,1,1,0,3.66666666666667,3.66666666666667,0.933333333333333,-0.746,-1.1124,2.1635,-0.237,1.7359,-0.7764,0.1903,0,1,537.434
"121",1,1,26409,-0.4343,-1.8742,-0.993,0,1,0,0,1,0,0,5,3.33333333333333,0.35,0.0039,0.4597,-0.4593,-0.1156,0.3708,-0.6909,-2.505,1,0,490.519
"122",1,1,28657,-1.6287,-0.1108,-1.6439,0,0,1,1,1,1,1,3.33333333333333,5,0.35,-0.347,-0.8234,-0.8208,-0.3744,0.0125,-0.2315,0.4752,0,0,394.416
"123",0,1,37728,2.1655,-1.1119,-0.3497,0,0,1,1,1,1,1,3,5,0.416666666666667,0.8351,-0.2137,-1.6934,0.1911,-1.2675,-1.1272,1.1311,1,0,391.247
"124",1,1,49096,1.0478,1.1563,0.1715,0,1,0,1,1,1,1,5,4,0.416666666666667,0.0039,2.5915,0.5094,0.5305,1.7359,0.9799,2.5493,1,0,480.149
"125",0,1,37922,-0.356,-0.1108,0.0913,0,1,1,1,1,1,1,5,5,0.416666666666667,0.0039,0.6642,-0.7802,0.5392,0.3708,0.1609,1.0496,1,0,594.914
"126",0,1,45099,2.1655,1.1563,1.3386,1,1,1,1,1,0,1,4.58333333333333,3.66666666666667,0.383333333333333,1.0438,1.0269,-0.1522,0.1042,0.3708,1.8543,1.5125,0,1,659.298
