"","student_id","school_id","pv5math","private_government","private_independent","school_size","ISCED_orient","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","escs","learning_time_math","gender","education_parents_medium","education_parents_high","immigration_status","study_after_school"
"73",38002513,3,423.255,0,0,1128,0,1,0.3471,0.1162,13.2706,-1.2477,4,1,0,0,1,1
"74",38013050,3,367.948,0,0,1128,0,1,0.3471,0.1162,13.2706,-0.0258,4,1,0,1,1,0
"75",38018275,3,489.245,0,0,1128,0,1,0.3471,0.1162,13.2706,0.7556,2.5,1,1,0,1,1
"76",38013793,3,591.64,0,0,1128,0,1,0.3471,0.1162,13.2706,1.098,6,1,0,1,1,1
"77",38005942,3,474.117,0,0,1128,0,1,0.3471,0.1162,13.2706,0.0878,5,1,0,1,1,1
"78",38000325,3,515.821,0,0,1128,0,1,0.3471,0.1162,13.2706,1.0245,4.58333333333333,1,0,1,1,1
"79",38017343,3,587.211,0,0,1128,0,1,0.3471,0.1162,13.2706,0.4919,4.58333333333333,1,0,1,1,0
"80",38002293,3,451.938,0,0,1128,0,1,0.3471,0.1162,13.2706,-0.0221,5,1,1,0,1,1
"81",38002459,3,552.261,0,0,1128,0,1,0.3471,0.1162,13.2706,1.3388,4.58333333333333,1,0,1,1,1
"83",38012351,3,494.331,0,0,1128,0,1,0.3471,0.1162,13.2706,1.7255,4,0,0,1,1,1
"84",38007210,3,579.125,0,0,1128,0,1,0.3471,0.1162,13.2706,0.8842,4,0,1,0,1,0
"85",38006625,3,543.215,0,0,1128,0,1,0.3471,0.1162,13.2706,1.1231,4,0,0,1,1,1
"86",38003055,3,471.945,0,0,1128,0,1,0.3471,0.1162,13.2706,0.7277,4,1,0,1,1,1
"87",38007436,3,529.299,0,0,1128,0,1,0.3471,0.1162,13.2706,-0.3637,5,1,1,0,1,1
"89",38016241,3,460.441,0,0,1128,0,1,0.3471,0.1162,13.2706,0.0622,4,1,0,1,1,1
"90",38009360,3,420.583,0,0,1128,0,1,0.3471,0.1162,13.2706,-0.6242,4,1,0,0,1,1
"92",38006611,3,496.945,0,0,1128,0,1,0.3471,0.1162,13.2706,1.2619,4.16666666666667,0,0,1,1,1
"94",38001589,4,412.427,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.2084,3.33333333333333,0,0,0,1,0
"95",38006664,4,176.482,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.516,4.58333333333333,1,0,0,1,1
"96",38000309,4,317.245,0,0,670,1,0.5271,0.4335,1.0924,6.601,0.7761,3.75,1,0,1,1,1
"97",38018005,4,410.086,0,0,670,1,0.5271,0.4335,1.0924,6.601,0.0254,10,1,0,1,1,1
"98",38007591,4,477.381,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.106,2.75,1,1,0,1,1
"99",38004512,4,379.72,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.0277,5,1,0,1,1,1
"101",38002804,4,537.454,0,0,670,1,0.5271,0.4335,1.0924,6.601,0.0674,3.33333333333333,1,1,0,1,1
"103",38003782,4,495.413,0,0,670,1,0.5271,0.4335,1.0924,6.601,0.0658,3.66666666666667,0,1,0,1,1
"104",38008025,4,321.81,0,0,670,1,0.5271,0.4335,1.0924,6.601,-2.2112,3.66666666666667,0,0,0,1,0
"105",38005003,4,392.749,0,0,670,1,0.5271,0.4335,1.0924,6.601,0.0043,3.33333333333333,0,1,0,1,0
"106",38015024,4,451.876,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.8367,3.33333333333333,1,0,0,1,1
"107",38014523,4,490.955,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.2957,3.66666666666667,1,0,0,1,0
"108",38011681,4,417.036,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.1433,3.66666666666667,1,0,1,1,0
"110",38016949,4,384.66,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.4335,3.66666666666667,1,0,0,1,1
"111",38001108,4,549.195,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.5112,2.25,1,1,0,1,1
"112",38005253,4,509.772,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.4479,3.66666666666667,1,1,0,1,1
"113",38003174,4,397.455,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.6513,3.66666666666667,1,1,0,1,0
"114",38015283,4,425.02,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.2318,4.16666666666667,1,0,0,1,1
"115",38016619,4,526.341,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.1869,5,0,0,0,1,1
"116",38007754,4,450.305,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.5259,4.58333333333333,0,0,0,1,0
"118",38017608,4,411.434,0,0,670,1,0.5271,0.4335,1.0924,6.601,0.8566,4.58333333333333,1,0,1,1,1
"119",38001071,4,487.239,0,0,670,1,0.5271,0.4335,1.0924,6.601,0.8972,3.33333333333333,1,0,1,1,0
"120",38014589,4,537.434,0,0,670,1,0.5271,0.4335,1.0924,6.601,1.6044,3.66666666666667,1,0,1,1,0
"121",38019880,4,490.519,0,0,670,1,0.5271,0.4335,1.0924,6.601,-0.993,5,1,1,0,1,0
"122",38003720,4,394.416,0,0,670,1,0.5271,0.4335,1.0924,6.601,-1.6439,3.33333333333333,1,0,0,1,1
"123",38018362,5,391.247,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,-0.3497,3,0,1,0,1,1
"124",38018950,5,480.149,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.1715,5,1,1,0,1,1
"125",38013460,5,594.914,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.0913,5,0,1,0,1,1
"126",38010647,5,659.298,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.3386,4.58333333333333,0,0,1,1,1
"127",38017146,5,565.5,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.637,5,0,0,1,1,1
"128",38001909,5,564.788,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.043,2.75,0,1,0,1,1
"129",38018630,5,401.093,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.2012,3,0,1,0,1,1
"130",38005237,5,685.616,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.1072,5,0,0,1,1,1
"131",38013668,5,504.691,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.1661,5,0,0,1,1,1
"132",38013825,5,542.196,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.1945,3,0,1,0,1,0
"133",38014484,5,572.448,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,-0.094,2.75,0,1,0,1,1
"134",38003436,5,570.78,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.2086,3,0,1,0,1,1
"135",38002161,5,509.434,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,-0.9306,3,0,0,0,1,1
"136",38016433,5,527.915,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.1186,3,0,0,1,1,1
"137",38007791,5,656.05,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.9707,4.58333333333333,0,0,1,1,1
"138",38003398,5,606.731,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.0861,4.58333333333333,0,0,1,1,1
"139",38008056,5,622.489,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.3772,4.58333333333333,0,0,1,1,1
"140",38008607,5,484.869,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,-0.3879,2.75,0,1,0,1,1
"141",38013389,5,573.754,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.6509,2.75,0,0,1,1,1
"142",38003427,5,578.694,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.208,5,1,1,0,1,1
"144",38015553,5,680.542,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.2558,5,1,0,1,1,1
"145",38016529,5,531.985,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.1959,4.16666666666667,1,0,1,1,1
"146",38001342,5,608.318,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,-0.0055,5,1,1,0,1,1
"147",38018148,5,583.393,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,1.1376,4.58333333333333,1,0,1,1,1
"148",38006221,5,553.25,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.9433,4.58333333333333,1,0,1,1,1
"149",38012926,5,568.762,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,-0.164,5,1,1,0,1,0
"150",38018278,5,599.745,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.9165,2.5,1,0,1,1,1
"151",38008462,5,502.539,0,0,1320,0,0.8804,0.2065,0.8718,14.3478,0.5723,2,0,0,1,1,1
"222",38008885,6,496.03,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-1.8142,4,0,0,0,0,1
"225",38000313,6,324.668,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-1.3396,4.58333333333333,0,0,0,1,1
"226",38011000,6,450.359,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-1.1764,2.25,1,1,0,1,0
"228",38002903,6,321.462,0,0,2092,1,0.7842,0.259,1.7822,10.0336,0.4395,4.33333333333333,1,0,1,0,0
"230",38014064,6,482.96,0,0,2092,1,0.7842,0.259,1.7822,10.0336,0.8652,3.66666666666667,0,0,1,1,1
"231",38018296,6,403.791,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-0.5386,3.33333333333333,0,1,0,1,1
"232",38007667,6,659.594,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-0.5402,3.33333333333333,0,1,0,1,1
"233",38016839,6,388.059,0,0,2092,1,0.7842,0.259,1.7822,10.0336,0.128,3,0,1,0,1,1
"234",38007972,6,481.538,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-0.0424,3.66666666666667,0,1,0,1,0
"235",38003372,6,386.974,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-1.1912,4,1,1,0,1,1
"236",38017230,6,462.648,0,0,2092,1,0.7842,0.259,1.7822,10.0336,0.4485,4,1,0,1,1,1
"238",38009497,6,526.333,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-0.9952,3.66666666666667,1,1,0,1,1
"239",38010925,6,523.911,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-0.4199,3.33333333333333,1,1,0,1,1
"240",38014373,6,448.799,0,0,2092,1,0.7842,0.259,1.7822,10.0336,0.2772,3.66666666666667,1,1,0,1,0
"241",38014260,6,440.377,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-0.5947,3.66666666666667,1,1,0,1,1
"242",38006054,6,448.169,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-0.7364,4,1,1,0,0,0
"243",38016854,6,439.363,0,0,2092,1,0.7842,0.259,1.7822,10.0336,-1.8188,3.33333333333333,0,0,0,1,0
"313",38006883,7,449.833,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.019,3.33333333333333,1,0,1,0,1
"314",38017080,7,488.212,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.2623,3.33333333333333,1,0,1,1,1
"315",38003987,7,553.189,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.529,3.33333333333333,0,0,1,1,1
"316",38013128,7,630.478,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.1432,3.33333333333333,0,0,1,1,1
"317",38011829,7,581.496,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.1348,3.33333333333333,0,0,1,1,1
"318",38002031,7,582.458,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.2709,2.5,0,0,1,1,1
"319",38013761,7,584.24,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.0966,3.33333333333333,0,0,1,1,1
"320",38014131,7,604.218,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.0077,3.33333333333333,0,0,1,1,1
"321",38013796,7,581.557,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.6431,3.33333333333333,0,0,1,1,1
"322",38007412,7,428.141,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.3424,3.33333333333333,0,0,1,1,1
"323",38012228,7,515.238,0,0,480,0,0.885,0.2035,0.2229,8.4956,-0.5231,3.33333333333333,0,1,0,1,1
"324",38008375,7,609.829,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.2732,3.33333333333333,0,0,1,1,0
"325",38004176,7,630.942,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.1365,2.5,0,0,1,1,1
"326",38014299,7,572.203,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.4695,3.33333333333333,0,0,1,1,1
"327",38019146,7,639.675,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.6319,3.33333333333333,0,0,1,1,1
"328",38018920,7,560.052,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.984,3.33333333333333,0,0,1,1,1
"329",38001661,7,608.557,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.2733,3.33333333333333,0,0,1,1,1
"330",38015742,7,641.814,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.0997,3.33333333333333,0,0,1,1,1
"331",38011886,7,599.768,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.8205,3.33333333333333,0,0,1,1,1
"332",38007184,7,620.023,0,0,480,0,0.885,0.2035,0.2229,8.4956,-0.7575,3.33333333333333,0,1,0,1,1
"333",38005069,7,628.182,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.5766,3.66666666666667,0,0,1,1,1
"334",38001321,7,608.632,0,0,480,0,0.885,0.2035,0.2229,8.4956,-0.0208,3.33333333333333,0,1,0,1,1
"335",38015695,7,577.923,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.3747,3.33333333333333,0,0,1,1,1
"336",38011915,7,510.4,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.0587,3.33333333333333,1,0,1,1,1
"337",38016060,7,629.401,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.6439,3.33333333333333,1,0,1,1,1
"338",38009063,7,656.516,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.3685,3.33333333333333,1,0,1,1,1
"339",38019907,7,606.483,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.0167,3.33333333333333,1,1,0,1,1
"340",38002004,7,593.449,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.2944,3.33333333333333,1,1,0,1,1
"341",38008398,7,617.456,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.1806,3.33333333333333,1,0,1,1,1
"342",38010102,7,679.066,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.4787,3.33333333333333,1,0,1,1,1
"343",38010760,7,587.398,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.3924,3.33333333333333,1,0,1,1,1
"344",38019962,7,613.845,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.2319,3.33333333333333,1,0,1,1,0
"345",38010480,7,625.122,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.1938,3.33333333333333,1,0,1,0,0
"346",38013221,7,510.42,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.1257,3.33333333333333,1,0,1,1,1
"347",38015862,7,627.374,0,0,480,0,0.885,0.2035,0.2229,8.4956,1.4426,3.33333333333333,1,0,1,1,1
"348",38001042,7,596.091,0,0,480,0,0.885,0.2035,0.2229,8.4956,-0.4367,3.33333333333333,1,1,0,1,0
"349",38013341,7,560.859,0,0,480,0,0.885,0.2035,0.2229,8.4956,0.7737,3.33333333333333,1,0,1,1,1
"350",38007138,7,548.62,0,0,480,0,0.885,0.2035,0.2229,8.4956,-0.6323,1.66666666666667,0,1,0,1,1
"351",38008343,8,505.378,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.3453,4.16666666666667,1,0,1,0,0
"352",38015859,8,517.476,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,2.0487,4.58333333333333,0,0,1,1,1
"353",38014176,8,570.813,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,0.9982,4.58333333333333,0,0,1,1,1
"354",38018258,8,709.511,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.2735,4.58333333333333,0,0,1,0,1
"355",38003377,8,629.965,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.3636,4.58333333333333,0,0,1,1,1
"356",38010394,8,619.886,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.7119,4.58333333333333,0,0,1,1,1
"357",38009905,8,582.256,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4075,5,0,0,1,1,1
"358",38017271,8,613,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4717,5,0,0,1,1,1
"359",38013317,8,634.217,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.1277,4.58333333333333,0,0,1,1,1
"360",38008096,8,528.822,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.5689,5,1,0,1,1,1
"361",38007937,8,566.872,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.306,4.58333333333333,1,0,1,1,1
"362",38001885,8,516.022,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.3073,4.58333333333333,1,0,1,1,1
"363",38016040,8,551.027,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.5895,5.5,1,0,1,1,1
"364",38002961,8,598.154,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.2346,4.58333333333333,1,0,1,1,1
"365",38006314,8,492.223,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4202,4.16666666666667,1,0,1,1,1
"366",38005468,8,612.642,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.1615,4.58333333333333,1,0,1,1,1
"367",38011790,8,636.34,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,0.8141,4.58333333333333,1,0,1,1,1
"368",38006246,8,567.641,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.6257,6.41666666666667,1,0,1,1,1
"369",38013785,8,605.426,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.6548,4.58333333333333,1,0,1,1,1
"370",38015976,8,575.141,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4177,10,1,0,1,1,1
"371",38015097,8,560.367,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4514,5,1,0,1,1,1
"372",38007570,8,600.35,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.6358,4.58333333333333,1,0,1,1,1
"373",38018584,8,605.142,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4403,4.58333333333333,1,0,1,1,1
"374",38002462,8,586.144,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4609,3.66666666666667,0,0,1,1,1
"375",38009898,8,533.444,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.3127,6.41666666666667,0,0,1,1,1
"376",38006714,8,526.71,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,0.5232,4.16666666666667,0,0,1,1,1
"377",38012212,8,536.425,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.4757,4.16666666666667,1,0,1,0,1
"378",38006426,8,639.917,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.493,4.58333333333333,1,0,1,1,1
"379",38017096,8,628.833,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.1308,4.58333333333333,1,0,1,1,1
"380",38008150,8,637.197,0,1,635,0,0.8302,0.3679,-0.4789,11.9811,1.7334,4.58333333333333,1,0,1,1,1
"381",38018743,9,415.31,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-0.5596,3.33333333333333,0,1,0,1,0
"382",38011240,9,489.777,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-1.5546,4.58333333333333,1,0,0,1,0
"383",38001422,9,462.354,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-1.5546,4,0,0,0,1,1
"384",38010442,9,449.893,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-0.7942,4,0,1,0,1,1
"385",38010930,9,468.084,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-1.3414,3.66666666666667,0,0,0,1,1
"386",38005731,9,444.998,0,0,1630,1,0.8166,0.0688,0.8718,9.341,0.057,4,1,0,1,1,0
"387",38000223,9,571.495,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-0.4682,4,1,1,0,1,1
"388",38016646,9,564.633,0,0,1630,1,0.8166,0.0688,0.8718,9.341,0.5489,3.66666666666667,1,0,1,1,0
"389",38015524,9,525.192,0,0,1630,1,0.8166,0.0688,0.8718,9.341,0.6201,3.66666666666667,1,0,1,1,1
"390",38016361,9,511.293,0,0,1630,1,0.8166,0.0688,0.8718,9.341,0.4555,3,1,0,1,1,1
"391",38000414,9,426.041,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-1.0504,3.66666666666667,1,0,0,1,1
"392",38012392,9,630.728,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-1.1106,4,0,0,0,1,1
"393",38009386,9,500.003,0,0,1630,1,0.8166,0.0688,0.8718,9.341,-1.6043,4,0,0,0,1,1
"394",38014823,10,464.151,0,0,803,0,0.9496,0.2437,0.1816,13.4958,-1.392,2.75,0,0,0,1,1
"395",38011379,10,453.031,0,0,803,0,0.9496,0.2437,0.1816,13.4958,-0.2916,2.75,0,0,1,1,0
"396",38012973,10,428.953,0,0,803,0,0.9496,0.2437,0.1816,13.4958,0.3979,2.75,1,0,1,1,1
"397",38010414,10,470.76,0,0,803,0,0.9496,0.2437,0.1816,13.4958,-0.3958,2.75,0,1,0,1,1
