"","student_id","school_id","pv5math","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","private_independent","school_size","ISCED_orient","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio"
"624",38015841,17,634.599,-1.21262073272833,-0.4343,-0.3331,0.0039,3.33333333333333,3.33333333333333,0.75,0.1458,0.6957,0.1111,-0.7535,1,1,0,1,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"625",38016118,17,466.223,0.404048106593788,-0.0284,0.0405,0.8079,3.33333333333333,3.33333333333333,0.75,0.1458,0.9659,0.8748,1.0051,1,0,1,1,0,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"626",38002578,17,565.81,-0.416078617904283,-0.0835,-0.2072,0.3405,3.33333333333333,3.33333333333333,0.35,-2.1154,0.1562,-1.4627,1.9474,0,1,0,0,1,1,0,1,0,649,1,1,0.2126,0.6298,10.2205
"627",38005119,17,504.778,1.18781522451107,1.0478,-0.4258,1.8837,3.33333333333333,3.33333333333333,0.75,-1.3786,-0.0589,-1.4136,-1.7918,0,1,0,1,1,1,0,1,0,649,1,1,0.2126,0.6298,10.2205
"628",38019122,17,544.218,-1.5030764316305,-1.2278,0.0248,0.9327,3.33333333333333,3.33333333333333,0.75,-1.7339,-1.1289,-1.5572,0.5348,0,1,0,0,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"629",38014398,17,547.02,0.125805866272806,0.5025,-0.086,1.8837,3.33333333333333,3.33333333333333,0.75,-1.4311,0.6584,-1.8679,-0.3879,0,1,0,1,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"630",38009953,17,542.886,0.960532587235752,0.1919,0.9507,0.2829,3.33333333333333,3.33333333333333,0.75,0.8061,0.4846,0.4748,-0.4221,0,0,1,0,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"631",38007674,17,560.155,-0.740647770084964,-0.5975,-0.5587,-0.2683,3.33333333333333,3.33333333333333,0.5,-1.1478,-0.2458,-1.1706,-0.5726,0,1,0,0,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"632",38014194,17,598.606,-0.681826630481285,-0.0144,-0.7934,0.0039,3.33333333333333,3.33333333333333,0.5,-1.6408,-0.2778,-0.5643,-0.0345,0,1,0,1,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"633",38017868,17,543.09,0.74069033277427,0.2737,-0.5656,1.8837,3.33333333333333,3.33333333333333,0.35,-0.1808,-0.237,-0.1624,0.5769,0,1,0,1,1,1,0,1,0,649,1,1,0.2126,0.6298,10.2205
"634",38008591,17,535.036,-0.74275353880586,-0.4365,-0.8093,1.8837,3.33333333333333,3.33333333333333,0.75,0.8433,0.7428,0.1111,-0.4248,0,1,0,0,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"635",38012157,17,674.686,-0.0670825485612146,0.2293,0.4834,0.7001,3.33333333333333,3.33333333333333,1.16666666666667,1.2596,-0.0369,-1.0795,-0.4221,0,1,0,0,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"636",38017122,17,640.059,-0.980705404267043,-0.222,-0.2104,0.2884,2.5,3.33333333333333,0.35,-0.8208,-0.172,-1.0795,0.0752,0,1,0,1,1,0,0,1,0,649,1,1,0.2126,0.6298,10.2205
"637",38009351,17,636.184,0.837274924772674,2.1655,-0.3337,-1.4259,3.33333333333333,3.33333333333333,0.633333333333333,-1.0286,-0.8358,-1.308,-0.6656,1,1,0,1,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"638",38016487,17,492.204,-0.675790093481385,0.0433,0.1174,-0.5436,3.33333333333333,3.33333333333333,0.75,-0.8499,-0.172,-0.4849,-0.4331,1,1,0,1,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"639",38008902,17,640.496,-1.31650532295917,-1.6287,-0.3603,-0.6353,3.33333333333333,3.33333333333333,0.75,-1.0286,0.7736,1.8543,-1.9346,1,1,0,0,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"640",38005491,17,646.927,-0.696005473201981,-1.2278,0.0295,0.2884,3.33333333333333,3.33333333333333,0.75,-0.8208,-1.2668,-0.3263,-0.8371,1,1,0,1,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"641",38008482,17,666.417,0.831940310679738,1.0478,1.289,0.0039,3.33333333333333,3.33333333333333,0.75,0.5094,-0.7341,-1.4136,-1.5176,1,0,1,1,1,1,1,0,0,649,1,1,0.2126,0.6298,10.2205
"642",38014121,17,613.561,-1.49998797083985,-1.6287,-0.6149,-0.7465,2.5,3.33333333333333,0.35,-1.2368,0.1803,-0.2111,-2.505,1,1,0,1,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"643",38008077,17,605.002,-0.189497903535935,-0.7039,-0.2719,1.3185,3.33333333333333,3.33333333333333,0.75,0.3864,1.1046,-0.4291,-1.0668,1,1,0,1,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"644",38016954,17,644.459,-1.48482643604941,-1.2278,-0.3837,0.0039,3.33333333333333,3.33333333333333,0.75,2.1635,1.0609,-1.8309,-1.9346,1,1,0,0,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"645",38018978,17,535.394,-0.683511245458002,-0.0835,0.0864,0.2343,3.33333333333333,5,0.75,2.1635,0.5392,-0.544,-0.8342,1,0,1,1,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"646",38000059,17,548.012,-1.98684169911088,-0.831,-0.5151,0.9373,3.33333333333333,3.33333333333333,0.75,-0.8208,-0.1807,-1.358,-1.3753,1,1,0,0,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"647",38018688,17,599.876,-0.0432171697243998,-0.7039,0.564,1.8837,3.33333333333333,3.33333333333333,0.75,1.6403,0.9248,-2.0325,-1.1583,1,0,1,1,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"648",38010408,17,624.701,-0.698392011085663,-1.2278,0.4751,0.7001,3.33333333333333,3.33333333333333,0.75,-0.4071,-0.3001,-0.61,0.5736,1,0,1,0,1,1,0,1,0,649,1,1,0.2126,0.6298,10.2205
"650",38006346,17,641.757,-0.67831701594646,-0.8341,-0.8131,0.9828,3.33333333333333,3.33333333333333,0.35,-0.8208,0.4181,-0.7662,-2.505,1,1,0,1,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"652",38008404,17,561.801,-0.939432337337492,-0.9969,-0.8815,-0.1502,3.33333333333333,3.33333333333333,0.35,-1.2991,-0.3931,-1.358,-0.0345,0,1,0,0,1,1,0,1,0,649,1,1,0.2126,0.6298,10.2205
"653",38007091,17,564.295,-0.666665095690838,0.6062,-0.996,-0.6353,3.33333333333333,3.33333333333333,0.633333333333333,0.5094,0.0272,-0.4982,-0.6534,0,1,0,0,1,1,1,1,0,649,1,1,0.2126,0.6298,10.2205
"654",38006433,17,543.034,-0.741068923829143,-0.831,0.4226,-1.0557,3.33333333333333,3.33333333333333,0.633333333333333,0.5094,-0.1558,0.075,0.0752,1,0,1,1,1,1,0,0,0,649,1,1,0.2126,0.6298,10.2205
"655",38015377,17,650.809,1.68604010387492,0.5025,0.2193,-0.5803,3.33333333333333,3.33333333333333,0.35,-0.1379,-0.0908,-1.5929,-0.9377,1,1,0,1,1,1,0,1,0,649,1,1,0.2126,0.6298,10.2205
"656",38008600,17,625.098,0.444619250616373,-0.831,-0.3125,-1.0005,3.33333333333333,3.33333333333333,0.633333333333333,1.6403,0.4181,1.8543,-0.1952,1,1,0,1,1,1,0,1,0,649,1,1,0.2126,0.6298,10.2205
"657",38004492,18,466.32,1.07761332811754,2.1655,-0.2708,-0.2407,3,4,0.416666666666667,-0.9821,0.2367,0.3377,2.5493,0,1,0,1,0,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"658",38014010,18,471.003,1.54804206036558,0.7777,1.4559,-0.8504,2.75,3.66666666666667,0.383333333333333,0.0159,0.2722,0.5387,2.5493,1,0,1,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"659",38019113,18,464.804,1.18584984037156,2.1655,0.9408,0.058,2.75,3.66666666666667,0.383333333333333,-0.1945,0.438,-1.0351,0.8565,1,0,1,1,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"660",38007646,18,567.744,-0.0797171608865871,0.2162,-1.3692,-0.5803,2.75,2.75,0.383333333333333,-0.4434,-0.0529,-0.7114,-0.6788,0,0,0,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"661",38006914,18,583.028,-0.0020844873762425,-0.2951,-1.2249,0.6605,3,4,0.416666666666667,-0.8208,0.3315,-0.4363,0.5306,0,0,0,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"662",38010527,18,546.579,0.666567273798751,0.6062,0.0142,-1.5571,3,3,0.416666666666667,-0.9059,0.7736,0.2296,0.5209,0,1,0,1,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"663",38009703,18,564.226,-0.906441960710131,1.0478,-1.5856,-0.0839,3,3,0.416666666666667,1.6681,1.234,1.0385,-1.9346,0,0,0,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"664",38002740,18,485.694,-1.33012262735429,-0.7039,0.0701,0.9373,2.75,3.66666666666667,0.383333333333333,-0.8208,-0.7009,-1.5087,2.5493,0,1,0,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"665",38007275,18,608.136,0.732548027053474,0.6062,0.6018,-0.2683,3,3,0.416666666666667,-2.1154,-1.2847,-0.8771,0.4065,0,0,1,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"666",38011721,18,563.323,-0.112567152932556,0.7777,-0.8076,1.1892,3,4,0.416666666666667,-0.8208,-0.1178,-0.4495,0.3265,0,1,0,0,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"667",38007234,18,461.238,-0.391651700741896,-0.7039,-1.4922,1.8837,2.75,3.66666666666667,0.383333333333333,-0.1945,0.0795,-1.358,0.5209,0,0,0,0,1,1,0,0,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"668",38011627,18,455.862,0.654353815217558,1.0478,1.3045,-0.0454,2.75,3.66666666666667,0.383333333333333,-1.6408,-0.1178,-0.8871,1.0016,0,0,1,0,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"669",38013733,18,463.138,-0.0450421692825091,0.7777,-0.5647,-0.2683,2.75,3.66666666666667,0.383333333333333,-1.2109,-0.8161,-0.4849,0.6434,0,1,0,1,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"671",38004355,18,609.538,-2.04903206866799,0.2834,-1.2484,-0.2336,2.75,3.66666666666667,0.383333333333333,1.1662,1.7541,0.1111,-0.567,0,1,0,0,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"672",38014993,18,617.907,1.86138044603481,2.1655,0.2243,-0.8722,2.75,3.66666666666667,0.383333333333333,2.1635,0.4827,0.3758,0.5209,0,1,0,0,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"673",38017010,18,393.112,1.09698640034978,1.0478,0.8418,-0.9516,3,4,0.416666666666667,-0.3237,-0.2248,-0.5969,2.5493,0,0,1,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"674",38005091,18,557.422,1.67256318406119,0.6062,0.8357,-0.998,2.75,3.66666666666667,0.383333333333333,-2.1154,-0.0908,0.6507,1.3538,0,1,0,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"675",38002113,18,536.207,-1.13232075217151,-0.222,-1.8981,0.0039,4,6,0.416666666666667,-0.7802,0.0527,-1.3123,0.5209,0,0,0,0,0,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"676",38009514,18,445.491,-0.174336368745488,-0.831,-0.2679,-1.4452,2.5,3.33333333333333,0.35,-2.1154,-0.5462,-1.1296,1.7184,0,1,0,0,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"677",38002660,18,572.286,0.33596158461817,2.1655,0.4153,-0.8504,2.75,3.66666666666667,0.383333333333333,0.1458,0.1075,-0.544,0.8425,0,0,1,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"678",38011613,18,485.339,-0.81463044447909,0.2834,0.3827,-1.0044,3,4,0.416666666666667,-1.0141,0.4846,0.0078,1.7184,0,0,1,0,1,0,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"679",38002041,18,644.978,-0.0224402516782316,0.3005,0.5694,0.6558,3,4,0.416666666666667,-0.8208,0.6496,-0.8771,-0.8801,1,0,1,1,1,1,1,0,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"680",38001174,18,607.148,2.4797745270711,2.1655,0.9282,-0.479,3,4,0.416666666666667,-0.8208,0.1123,-0.2908,-0.6237,1,0,1,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"681",38002488,18,505.085,-0.11832292076967,0.2737,-0.5632,-0.0012,1,1,0.416666666666667,1.1249,1.0787,-0.4849,0.4785,1,1,0,0,1,1,1,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"683",38001330,18,643.264,-0.0274940966083806,2.1655,-0.5601,-0.7367,2,4,0.416666666666667,-0.1945,0.6026,-1.0351,-0.7932,0,1,0,1,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"684",38016653,18,613.448,0.552294224544826,1.0478,0.5009,1.3185,2.75,2.75,0.383333333333333,-0.576,-0.0095,-0.2111,-1.1166,0,1,0,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"685",38012668,18,497.587,-0.593524728785071,0.6093,0.2423,1.1892,3,3,0.416666666666667,-1.0127,-0.5297,-0.61,1.9474,0,1,0,0,1,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"686",38012387,18,623.687,-0.736155463480387,-0.1661,0.4446,1.3185,2.75,3.66666666666667,0.383333333333333,-0.627,-0.4314,-0.7662,0.0752,1,0,1,0,0,1,0,1,0,1335,0,0.6818,0.1212,-0.1073,10.1136
"687",38013159,19,543.061,0.762449942890189,2.1655,1.1882,1.2422,3,4,0.416666666666667,0.8931,0.2592,-0.6532,-0.4671,0,0,1,0,1,0,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"688",38004710,19,564.238,2.42600723239757,2.1655,0.6512,0.9828,4.58333333333333,3.66666666666667,0.383333333333333,2.1635,0.0795,1.8543,2.5493,0,1,0,0,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"689",38018886,19,531.402,-0.312334412254835,-0.4113,-0.3226,-1.4227,5,4,0.716666666666667,0.5094,-0.0369,-0.8771,2.5493,0,1,0,0,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"690",38008098,19,568.747,2.40172069981658,2.1655,1.1934,-0.3164,5,4,0.716666666666667,-0.119,0.8574,1.0385,-0.198,0,0,1,1,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"692",38018654,19,638.314,2.89713788755258,2.1655,1.4188,0.8351,5,4,0.416666666666667,0.5094,1.2758,-0.4495,2.5493,0,0,1,0,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"693",38006613,19,569.842,-0.000961410725098276,0.5025,1.2156,0.9373,4.58333333333333,2.75,0.383333333333333,-0.1945,1.0258,0.8101,1.4394,0,0,1,1,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"694",38016981,19,535.391,0.0964654887616633,0.2293,-0.5483,0.8351,4.58333333333333,6.41666666666667,0.383333333333333,0.5094,-0.6006,-0.9731,1.1199,0,1,0,0,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"695",38016543,19,509.533,0.253976989084641,0.4793,0.8278,-0.7439,4.58333333333333,3.66666666666667,0.666666666666667,-0.1522,0.6098,0.5952,0.5736,0,0,1,0,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"696",38010995,19,576.245,1.86601313722078,2.1655,0.9074,1.8837,3.66666666666667,3.66666666666667,0.666666666666667,1.3705,0.9138,0.1609,0.6538,0,1,0,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"697",38011011,19,647.383,2.30331110826007,0.7777,0.966,0.0039,3.66666666666667,3.66666666666667,0.666666666666667,0.5094,1.0163,0.1609,0.2092,0,1,0,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"698",38004870,19,560.793,0.64845766279905,2.1655,0.9125,0.2884,4,0,0.716666666666667,0.5094,0.0795,-0.61,1.7952,0,0,1,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"699",38008071,19,542.15,0.163709703248924,0.6062,-0.1174,0.6605,3.66666666666667,3.66666666666667,0.666666666666667,0.5094,0.7736,0.1111,-0.308,0,1,0,1,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"701",38004684,19,443.782,-0.591138190901389,2.1655,-0.563,-0.5803,3,3,0.416666666666667,0.5094,0.3416,0.5952,-0.6788,0,1,0,0,1,0,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"702",38014163,19,667.509,2.42600723239757,2.1655,1.6554,-0.4766,4.58333333333333,3.66666666666667,0.666666666666667,0.1458,0.7474,-0.4646,-0.7086,1,0,1,0,1,0,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"703",38001501,19,630.33,-0.119165228258028,2.1655,1.0814,1.0438,4.58333333333333,3.66666666666667,0.666666666666667,-0.4318,0.2367,-0.7791,-2.505,1,0,1,0,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"704",38004589,19,553.974,0.398151954175281,-0.3331,0.7415,-0.1502,4.58333333333333,3.66666666666667,0.383333333333333,-0.1945,-0.1509,-0.9207,-0.7876,1,0,1,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"705",38001022,19,535.778,-0.537511280809252,-0.7273,-0.2183,0.4046,3.75,3,0.316666666666667,0.0992,0.1123,0.1717,-0.0374,1,1,0,1,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"706",38011101,19,668.902,1.87064582840675,1.0478,1.4789,0.4046,4.58333333333333,3.66666666666667,0.383333333333333,-0.3398,-0.3199,-0.6458,-0.1433,1,0,1,1,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"707",38018390,19,547.995,-0.641536255621486,-0.2818,0.9033,0.5529,4,7,0.716666666666667,0.125,0.8609,-1.1209,1.0461,1,0,1,1,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"708",38006670,19,592.894,0.00479435711201588,0.2162,-0.159,0.6558,4,7,0.716666666666667,-0.8208,0.1738,0.075,-1.3753,1,1,0,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"709",38012412,19,487.724,0.318553896525434,0.3744,0.9273,0.0039,4,4,0.716666666666667,-0.1704,0.0683,1.8543,1.057,1,0,1,1,1,1,1,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"710",38000323,19,646.399,-0.877943890687346,-1.6287,-0.5141,-0.6873,2,1,0.716666666666667,-0.576,-0.6381,-1.0795,-0.2067,1,1,0,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"711",38006018,19,615.833,3.29386471456927,2.1655,2.4728,0.6558,3.33333333333333,5,0.75,0.5094,0.7736,-0.5086,-0.308,1,0,1,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"712",38005060,19,639.811,0.238253915968622,-0.1892,0.5364,0.8934,3.33333333333333,3.33333333333333,0.633333333333333,1.6403,0.6385,-0.8107,-0.9848,1,0,1,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"713",38019361,19,539.075,0.180415468434694,0.3941,1.0151,1.0867,4,4,0.716666666666667,0.5094,0.2367,-0.1651,-0.0836,1,0,1,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"714",38013416,19,568.63,0.565490375195771,2.1655,0.1324,-1.0005,2.75,2.75,0.383333333333333,0.5094,0.991,-1.2797,0.9468,1,1,0,0,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"715",38011365,19,611.75,0.816076852982326,0.6062,1.3882,0.0039,2.75,5.5,0.383333333333333,0.5094,0.9989,-0.0056,-1.1832,1,0,1,1,1,1,0,1,0,786,0,0.9911,0.3571,1.1019,14.0357
"764",38015037,20,523.744,0.0634751121343017,0.6062,-0.7202,0.0039,3.33333333333333,3.33333333333333,0.5,0.5094,-0.1178,-0.2111,-0.2039,0,1,0,0,0,1,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"765",38013665,20,491.742,0.444759635197766,0.6062,1.167,-1.2699,3.33333333333333,3.33333333333333,0.5,0.1458,-0.0369,0.5387,-0.0374,0,0,1,0,1,1,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"766",38014732,20,409.703,2.11996884496077,2.1655,0.9757,-0.5803,3.33333333333333,3.33333333333333,0.5,-0.6427,0.5987,1.8543,0.7993,0,1,0,0,1,1,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"767",38003256,20,481.633,-0.972843867709033,-1.2278,-0.2703,-0.8747,3.33333333333333,3.33333333333333,0.5,-0.6975,-0.8083,-1.8178,0.1409,0,1,0,0,1,1,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"768",38017891,20,442.845,-0.679861246341783,-0.356,0.8313,0.6605,3.33333333333333,3.33333333333333,0.5,1.0501,0.4759,-0.4495,0.6758,0,0,1,0,1,1,0,1,0,132,0,0.9375,0.2292,0.6925,5.5
"769",38003652,20,413.285,2.09357654365888,1.0478,1.4769,-1.2755,3.33333333333333,6.66666666666667,0.5,-0.4318,0.5305,1.8543,1.0016,0,0,1,1,1,0,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"770",38005190,20,520.47,0.837976847679639,1.0478,1.3319,0.0039,3.33333333333333,3.33333333333333,0.5,-0.1522,-0.352,-0.4495,1.7237,0,0,1,0,1,1,0,1,0,132,0,0.9375,0.2292,0.6925,5.5
"771",38005357,20,505.115,0.515232695057067,0.7777,1.2474,-2.4162,3.33333333333333,3.33333333333333,0.5,1.1074,0.9248,-0.8234,1.4226,0,0,1,1,1,1,0,1,0,132,0,0.9375,0.2292,0.6925,5.5
"772",38000473,20,351.595,-0.377332473439807,-0.0071,1.0138,-0.6051,3.33333333333333,30,0.5,0.0992,0.2649,0.1111,-0.5306,1,0,1,1,1,1,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"773",38011191,20,587.597,0.766099942006408,0.6062,1.2511,-0.3809,4.16666666666667,3.33333333333333,0.983333333333333,2.1635,1.4315,1.0385,-0.0746,0,0,1,0,1,1,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"775",38012382,20,593.106,0.141388554807432,0.7777,1.1496,0.0039,4.16666666666667,3.33333333333333,0.633333333333333,1.6403,1.7297,-0.4363,-0.9024,1,0,1,1,1,1,1,1,0,132,0,0.9375,0.2292,0.6925,5.5
"777",38010327,20,616.725,1.46802284897155,0.6093,1.497,1.1892,5.83333333333333,3.33333333333333,0.633333333333333,1.1049,1.1046,-0.3832,-1.6189,1,0,1,1,1,0,0,0,0,132,0,0.9375,0.2292,0.6925,5.5
"778",38018715,21,338.621,-1.75618983188213,-0.4365,-1.2699,-0.4766,1.5,3,0.316666666666667,-2.1154,-2.4981,-2.3145,-2.505,0,1,0,0,0,1,0,0,0,1012,1,0.7479,0.1429,0.6298,17.0084
"779",38002667,21,389.064,-0.924691956291224,-0.7273,-0.514,1.3818,3.33333333333333,5,0.35,-2.1154,-1.8359,-3.0877,-0.866,1,0,1,0,0,1,0,0,0,1012,1,0.7479,0.1429,0.6298,17.0084
"780",38017530,21,491.041,-2.49208580754438,-0.831,0.5635,-1.0806,3.33333333333333,5,0.35,0.6836,1.5563,-0.7662,0.8531,1,0,1,1,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"781",38018067,21,485.197,-0.0637133186077819,-0.8341,0.3313,-1.0005,3.33333333333333,5,0.35,-0.1833,0.0627,0.1717,0.7993,1,0,1,1,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"782",38014822,21,327.231,-1.09371499228843,-1.2278,-0.9218,0.0039,3.33333333333333,5,0.35,-0.8208,1.7297,0.1609,0.9277,1,1,0,1,0,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"783",38003379,21,455.256,0.114294330598578,0.7777,0.0763,0.2829,3.33333333333333,5,0.35,0.5094,0.2719,0.4748,0.5306,1,1,0,1,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"785",38016056,21,499.897,-0.323424794184884,1.0478,1.0899,0.5529,3.33333333333333,4.16666666666667,0.35,0.5094,0.6098,-0.0137,0.0094,1,0,1,1,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"786",38019364,21,413.494,-0.640553563551735,-0.9969,0.4283,-1.0806,2,2,1,1.3058,2.4511,-1.2707,1.181,0,0,1,1,1,1,0,0,0,1012,1,0.7479,0.1429,0.6298,17.0084
"787",38011815,21,472.7,-1.14383228784574,-0.7039,-1.1623,0.2355,3.33333333333333,5,0.35,-0.1379,0.4913,-0.1756,-0.5644,1,1,0,1,0,1,1,0,0,1012,1,0.7479,0.1429,0.6298,17.0084
"789",38010379,21,484.157,-0.798345833037499,-0.4343,0.6577,1.8837,4.16666666666667,5,0.35,0.5094,2.4511,1.8543,-1.7918,1,0,1,1,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"790",38019850,21,625.071,0.270261600526232,-0.4113,0.0758,0.0039,3.33333333333333,3.33333333333333,1.08333333333333,1.3058,-0.1227,-0.9207,0.4517,0,1,0,0,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"791",38013360,21,600.493,-1.17373420368246,-0.831,-0.8188,0.2829,3.33333333333333,3.33333333333333,0.35,-0.3522,-0.8083,-0.2111,1.0605,0,1,0,0,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"792",38012808,21,586.06,2.16517268016933,2.1655,-0.2924,-2.4162,3.33333333333333,3.33333333333333,0.35,-0.1833,0.5305,-0.1624,0.5209,1,1,0,0,1,1,0,0,0,1012,1,0.7479,0.1429,0.6298,17.0084
"793",38015837,21,500.44,-0.857588126385357,-0.356,-0.0955,-0.4766,3.33333333333333,3.33333333333333,0.35,-1.3764,-0.2052,-0.7662,-0.0345,1,1,0,1,1,1,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"794",38009994,21,493.351,0.515092310475674,0.6062,1.0408,0.2829,3.33333333333333,3.33333333333333,0.35,0.125,0.7532,-0.4849,-0.5306,1,0,1,1,1,1,0,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
"795",38003378,21,645.004,0.453042325499955,0.6062,-0.3103,-0.5803,3.33333333333333,3.33333333333333,1.08333333333333,2.1635,1.1786,0.1111,0.206,1,1,0,1,1,1,0,0,0,1012,1,0.7479,0.1429,0.6298,17.0084
"796",38004628,21,506.335,-0.36076709283543,0.3744,-0.358,-0.4889,3.33333333333333,5,0.35,2.1635,1.6345,0.5031,1.3578,1,1,0,0,1,0,1,1,0,1012,1,0.7479,0.1429,0.6298,17.0084
