"","student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
"795",38001340,38000399,"TrentinoAA",79,1,0.6842,0.2632,-0.5434,8.3158,0,NA,NA,0,NA,2.1655,1.1203,-1.0005,3.33333333333333,3.33333333333333,0.35,0.8225,-0.03,-0.736,-0.7508,0,0,1,1,1,1,1,0,1.1563,"Yes","No","Yes",6,-1.3697,-0.5555,0.7454,566.079,653.928,581.195
"796",38001341,38000439,"Campania",1096,1,0.5024,0.239,1.891,10.6927,0,0,0,0,NA,0.7777,0.7004,0.2829,4,4,0.716666666666667,1.0914,0.7736,0.2433,-0.308,1,1,0,NA,1,NA,1,NA,1.1563,NA,NA,NA,43,1.5043,0.8155,NA,545.994,532.827,579.682
"797",38001342,38000008,"Lombardia",1320,0.8611,0.8804,0.2065,0.8718,14.3478,0,0,0,0,NA,0.7777,-0.0055,1.3751,5,4,0.716666666666667,1.6903,1.1029,-0.4495,0.7993,1,1,0,1,1,1,0,1,1.1563,"Yes","Yes","No",18,0.9357,1.0728,0.7454,608.318,628.899,657.576
"798",38001347,38000009,"Lombardia",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2.1655,-1.0289,-0.2683,4,4,0.716666666666667,-1.2636,-0.5551,-1.358,0.1884,0,0,0,1,1,1,1,1,1.1563,"Yes","Yes","Yes",15,0.3171,-0.5375,-0.9094,592.227,566.543,578.211
"799",38001348,38000096,"0",1651,1,0.9591,0.2364,0.3046,15.0091,0,0,0,0,NA,0.7777,1.1211,0.9383,3,6,0.416666666666667,-0.1833,-0.1178,-0.8771,0.2594,0,0,1,1,0,1,1,1,-0.8323,"Yes","No","Yes",9,-0.3381,-0.3035,0.7454,430.918,449.509,510.269
"800",38001350,38000200,"Campania",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.7777,-0.4991,0.0039,6,4,0.416666666666667,-0.119,1.0258,-0.1651,0.2092,1,1,0,1,1,1,1,1,1.1563,"Yes","No","Yes",19,1.0676,0.3708,-0.4195,562.637,477.922,433.017
"801",38001351,38000281,"Lombardia",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.7777,0.4933,0.8351,2.75,3.66666666666667,0.383333333333333,0.8931,0.5392,0.0614,0.0752,1,1,0,1,1,1,1,1,1.1563,"Yes","Yes","Yes",12,-0.082,1.0728,0.7454,601.909,514.69,549.851
"802",38001353,38000341,"TrentinoAA",118,0.75,0.625,0.2,-1.2437,5.9,0,1,0,0,NA,2.1655,1.7566,1.8837,2.5,3.33333333333333,0.5,-0.8208,0.0795,-1.0473,0.3781,0,0,1,0,1,1,1,1,-0.1108,"Yes","Yes","Yes",11,0.9357,-0.7778,NA,622.003,622.076,584.152
"803",38001354,38000267,"TrentinoAA",843,1,1,0.2192,-0.1714,11.5479,0,0,0,0,NA,0.2293,0.8895,1.3185,4.16666666666667,3.33333333333333,0.5,1.6008,0.4952,0.9799,0.2527,0,1,0,0,1,0,0,1,1.1563,"Yes","No","Yes",9,0.9357,1.356,-1.8389,670.96,625.092,643.062
"804",38001357,38000231,"0",1422,1,0.8942,0.1421,0.3537,7.922,1,0,0,0,NA,1.0478,-1.2913,-1.0005,3,3.75,0.316666666666667,-0.1833,0.9248,0.8101,0.0752,1,0,0,0,1,1,1,1,1.1563,"Yes","No","Yes",9,0.0248,-0.4595,-0.9094,229.108,295.564,334.508
"805",38001360,38000153,"0",1354,1,1,0.3405,-2.1182,14.6378,0,0,0,0,NA,2.1655,0.1793,1.1892,5,4,0.416666666666667,0.5094,0.9248,0.1111,-0.7209,0,1,0,0,1,1,1,1,1.1563,"Yes","Yes","Yes",1,0.2947,0.3708,0.7454,606.097,619.306,649.852
"806",38001362,38000483,"Lombardia",793,1,0.9412,0.1471,0.6298,11.6618,0,0,0,0,NA,0.4793,1.3755,1.8837,4.58333333333333,3.66666666666667,0.383333333333333,2.1635,-0.0171,0.1609,-2.505,0,0,1,0,1,1,0,1,-0.1108,"No","No","Yes",18,0.6642,1.7359,-0.5057,685.302,634.096,653.289
"807",38001364,38000412,"Campania",1407,1,0.7632,0.1429,0.6298,10.5789,1,0,0,0,NA,-0.7273,-0.9911,0.6605,4,4,0.416666666666667,-0.1522,0.4827,-0.8107,0.3265,1,1,0,1,1,1,1,1,-1.0614,"Yes","No","Yes",9,0.4597,0.93,-0.9094,506.986,453.788,492.208
"808",38001366,38000104,"TrentinoAA",460,1,0.9759,0.0361,-0.0467,5.5422,1,0,0,0,NA,-0.8341,-0.842,0.0039,3.33333333333333,3.33333333333333,0.35,-1.4847,0.5305,-0.4745,-2.505,1,1,0,1,1,1,0,0,-1.1375,"Yes","No","No",14,0.0897,-0.4767,-1.8389,593.577,569.628,549.686
"809",38001367,38000488,"TrentinoAA",572,1,0.6535,0.5197,0.9807,9.0079,1,0,0,0,NA,-0.831,-0.791,-1.0781,3.33333333333333,3.33333333333333,0.633333333333333,-0.3928,1.2274,-1.0795,-0.9464,1,1,0,1,1,1,0,1,-1.3175,"Yes","No","Yes",4,0.6642,0.7648,-1.9663,528.262,470.006,536.027
