"student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
38000501,38000418,"TrentinoAA",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.278199795905895,0.3005,0.4529,0.9373,-0.812520895539251,-0.388415185262513,-0.0215963789372213,-0.8208,-0.2052,-0.8771,-0.5306,0,1,0,0,1,1,1,1,-0.1108,1,1,1,-0.804813539715593,0.1052,-0.7778,-0.0918,2.13448998420705,1.92254712739773,1.68552996251912
38000502,38000305,"TrentinoAA",-1.11588673155733,1,0.0323,0.0806,-2.1182,-0.076024241787396,1,1,0,0,-0.550665305523413,0.0768,-0.8625,NA,-1.29229555216672,0.0809216011313944,0.0932372116701436,-0.1379,-1.6194,-0.4849,-0.0345,1,1,0,1,1,1,0,0,-0.6303,1,0,1,-1.40533169654837,-0.6981,-1.4849,0.7454,-1.74032514086256,-1.01328136175007,-1.37219931493419
38000503,38000227,"0",0.517335609558856,1,0.9412,0.2471,0.9807,0.302032778359905,0,0,0,0,-1.53820552473337,-0.7273,-0.3732,0.6558,0.266972081872553,-0.138102232519095,-0.308680355455635,1.3508,1.1029,1.8543,-0.8455,0,0,1,1,0,1,1,1,-0.5343,0,0,1,0.171028465137673,-0.4838,1.7359,NA,-0.352059920584084,0.17044888408737,0.186070908434249
38000507,38000155,"0",0.958617416850159,1,0.9375,0.2313,0.6298,0.992303634955114,0,0,0,0,0.494836549974292,0.7777,0.9573,NA,0.686774906421585,-0.607439018913002,0.0932372116701436,0.1458,-0.9308,0.8101,0.4517,1,0,1,0,1,1,0,1,-0.1108,1,0,1,0.471287543554063,0.6642,0.3613,-0.4195,1.21604164934795,0.331092269884827,0.619636781949105
38000508,38000060,"Lombardia",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-1.17933667027092,-0.7273,-0.8885,-1.1351,0.266972081872553,-0.138102232519095,-0.308680355455635,-0.1945,0.1976,-0.8771,0.1383,0,1,0,0,1,1,0,0,0.1927,1,0,0,-0.87987830931969,0.6642,-0.2874,-2.5972,-1.04920467801901,-0.475772106876345,-0.470683916918347
38000511,38000111,"Campania",-0.130197477227297,1,0.9822,0.7278,-1.0151,-0.410482089066251,1,0,0,0,-0.252498590246479,-0.2031,-0.1916,1.8837,0.266972081872553,10.3750417827044,1.70090748017327,0.8225,2.4511,0.8598,0.0845,1,0,1,1,1,1,1,1,-0.6281,0,0,1,0.321158004345868,1.0269,1.7359,-0.9094,-0.581273173684707,-1.09610511485955,-1.08054784069629
38000512,38000295,"TrentinoAA",0.778747114965117,1,0.7282,0.2864,0.617,0.0788633582199021,0,0,0,0,1.67517114804208,2.1655,0.4971,0.9383,-0.812520895539251,-0.0755239943332392,-0.538347536670369,-0.1379,0.206,0.8598,0.7993,0,1,0,0,1,1,0,1,1.1563,1,1,1,1.89751816603191,-0.0621,-0.2002,0.7454,1.03047106373149,0.813967650023479,0.703654350658812
38000514,38000481,"0",-0.417989960243364,1,1,0.1746,-2.1182,-0.180931190409173,0,0,0,0,0.613363300302669,0.7777,0.1295,0.0039,-1.17235188800985,-0.138102232519095,-0.308680355455635,0.5094,-0.1239,-0.3344,0.8425,0,1,0,1,1,1,1,1,0.0321,1,1,1,0.0208989259294784,0.6642,1.7359,0.7454,0.0309067178096766,0.216408950091861,0.887571890224475
38000517,38000031,"0",-0.161374996220704,1,0.7974,0.2026,0.9233,-0.24583994332571,1,0,0,0,-0.848009869931017,-0.356,-0.141,NA,NA,NA,NA,NA,NA,-0.1651,-0.4305,1,1,0,1,1,NA,NA,NA,-0.1108,NA,NA,NA,NA,-0.0774,NA,NA,-1.14632969415325,-1.12322744754403,-1.12987697884777
38000519,38000215,"0",0.896262378863345,1,1,0.2876,0.3046,1.06799252836657,0,0,0,1,1.51252230105967,0.6093,1.5609,-0.5688,0.986634066813755,0.988306054826284,-0.308680355455635,1.6681,0.9659,-0.4954,1.0605,0,0,1,1,1,1,0,1,1.1563,0,0,1,-0.204295382882814,-0.1289,0.3708,0.7454,0.66759656341007,-0.155074709464407,-0.0475144132518905
