"student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
38005762,38000104,"TrentinoAA",460,1,0.9759,0.0361,-0.0467,5.5422,1,0,0,0,39848,-0.0144,0.0918,0.3363,3.33333333333333,4.16666666666667,0.35,-1.7339,-1.0724,-0.7235,0.6571,0,0,1,0,1,1,0,1,-0.6303,1,0,0,4,0.6642,-1.5357,-0.0918,542.27,527.263,531.093
38005763,38000349,"Campania",498,1,0.8172,0.1398,0.5529,10.7097,1,0,0,0,32051,-0.9969,-0.7443,-1.0322,3.33333333333333,1.33333333333333,0.133333333333333,0.5094,1.1855,0.1928,-0.0879,1,1,0,1,1,1,0,0,1.1563,1,0,1,24,1.5611,-1.9301,-0.5704,439.579,426.648,380.399
38005764,38000252,"Campania",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32140,-0.356,0.9037,-0.1502,4.58333333333333,3.66666666666667,0.383333333333333,0.0992,0.6496,0.1111,1.1311,1,0,1,1,1,1,0,0,1.1563,1,0,1,8,-0.7862,1.0728,-1.8389,596.446,554.863,563.596
38005765,38000381,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,34643,-0.1523,-0.1945,0.6558,3.33333333333333,3.33333333333333,0.35,-0.6427,-0.2052,0.1246,0.1441,0,1,0,0,1,1,0,1,1.1563,0,0,1,14,1.0269,-1.9301,0.7454,421.519,479.503,462.699
38005766,38000044,"0",864,1,0.787,0.0391,-1.0856,7.513,1,0,0,0,27793,-0.7039,0.3183,-0.3164,3,4,0.416666666666667,NA,NA,-0.1651,0.5209,1,1,0,1,1,1,1,1,-1.2004,1,0,1,17,-0.3381,0.3708,-0.9094,241.823,290.628,321.04
38005767,38000276,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,40598,1.0478,0.5141,0.0039,3.33333333333333,3.33333333333333,0.75,-1.3261,-0.7097,-2.0766,-0.7999,0,0,1,1,1,1,1,1,1.1563,0,0,1,11,-0.082,-1.9301,NA,526.362,580.645,565.343
38005768,38000129,"0",93,1,0.75,0.1833,0.7486,3.1,1,0,0,0,34493,-0.8341,1.0522,-0.5154,3.33333333333333,3.33333333333333,0.35,1.1662,-0.2458,-0.1163,0.7882,1,0,1,1,NA,1,1,1,0.0321,1,1,1,36,-0.5753,1.2423,0.7454,455.554,421.199,420.274
38005770,38000207,"Lombardia",1371,1,0.8594,0.1084,-0.1073,11.012,0,0,0,1,40033,0.4793,0.0863,0.4046,3,6,0.416666666666667,-1.3786,-0.2052,0.2805,-0.4671,0,1,0,1,1,1,0,1,-0.1108,1,1,1,9,-0.5064,-0.0948,0.7454,628.562,644.94,598.059
38005771,38000003,"0",569,1,0.5753,0.1575,-0.8695,7.7945,0,0,0,0,45875,0.7777,1.0572,0.8934,4.58333333333333,3.66666666666667,0.383333333333333,0.5094,0.5305,-0.4849,-0.3455,1,0,1,1,1,1,1,1,1.1563,1,0,1,15,-0.1613,0.3708,NA,593.825,585.427,583.856
38005772,38000104,"TrentinoAA",460,1,0.9759,0.0361,-0.0467,5.5422,1,0,0,0,37060,0.2737,0.163,0.0039,3.33333333333333,4.16666666666667,0.5,-1.2636,-0.8816,-0.1756,-1.3753,0,1,0,0,1,1,0,1,-0.1108,1,0,1,0,-1.5827,-1.0839,0.7454,729.705,608.28,623.717
