"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","student_id","dimension_city","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","pv5math","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school"
"15",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38004323,4,33206,-0.2598,0.0544,0.8351,2.75,3.66666666666667,0.383333333333333,0.5094,-0.1239,-0.3263,0.2594,479.084,1,0,1,1,1,0,1,1
"16",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38000228,4,45483,1.0478,1.4974,-0.5803,2.75,3.66666666666667,0.383333333333333,-1.2347,-0.4403,-0.8234,-0.0345,556.171,1,0,1,1,1,1,1,1
"17",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38003836,4,39171,0.3005,0.3769,1.8837,3,4,0.416666666666667,0.4477,0.7048,-1.6781,-0.1679,493.696,1,0,1,1,1,1,1,1
"18",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38005317,4,47799,2.1655,1.5413,0.5529,2.75,3.66666666666667,0.383333333333333,-0.8208,-2.4981,-0.0852,0.0752,530.247,1,0,1,1,1,1,1,1
"19",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38003086,4,42927,0.7777,1.1968,-0.4436,1.83333333333333,3.66666666666667,0.383333333333333,-0.8208,-0.7742,0.8101,0.3964,602.181,0,0,1,0,1,1,0,1
"20",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38009280,4,42399,1.0478,1.2394,0.0039,2.75,3.66666666666667,0.383333333333333,-0.6148,0.1911,-0.8771,1.1311,578.731,1,0,1,1,1,1,1,1
"21",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38011444,4,42217,1.0478,1.1294,-0.4234,2.75,3.66666666666667,0.383333333333333,-0.8208,-0.0034,-0.8771,0.7721,445.402,0,0,1,1,1,1,1,1
"22",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38009140,4,40778,0.3744,0.5063,-0.768,2.75,3.66666666666667,0.383333333333333,0.5094,0.3664,-0.7662,0.5175,508.863,0,1,0,0,1,1,0,1
"23",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38001338,4,36774,0.0058,0.1462,NA,2.75,0,0.383333333333333,1.3508,0.3315,0.4631,1.4226,459.27,0,0,1,0,1,NA,0,0
"24",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38018365,4,36494,0.3744,-0.0645,NA,3.25,4.33333333333333,0.45,-1.7159,0.0795,-0.3572,2.5493,445.953,0,1,0,0,1,1,0,1
"25",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38006732,4,40228,0.7777,0.3537,NA,2.75,3.66666666666667,0.383333333333333,0.5094,0.1042,-0.7662,0.5209,579.228,1,0,1,1,1,1,0,1
"26",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38019814,4,45100,2.1655,1.4833,NA,2.75,3.66666666666667,0.383333333333333,0.8061,1.0152,-0.7662,0.8425,616.976,0,0,1,1,1,1,0,1
"27",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38018709,4,46274,0.7777,0.4177,1.8837,3,4,0.416666666666667,2.1635,0.6584,0.959,1.0016,620.409,1,0,1,1,1,1,0,1
"28",38000001,0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,38000522,4,46843,2.1655,1.506,-0.6051,5,1,0.2,0.5094,0.8104,-0.2803,0.6725,577.433,1,0,1,1,1,1,1,1
"29",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014765,NA,28307,-0.4343,-0.2046,-0.8722,3.33333333333333,3.33333333333333,0.35,NA,-0.3744,-0.1651,0.9908,444.524,0,0,1,1,1,1,0,0
"30",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38011952,NA,52997,NA,1.5953,NA,NA,NA,NA,NA,NA,NA,NA,392.243,1,0,1,1,1,1,1,1
"31",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38015975,NA,55571,0.7777,0.5605,-1.5681,2.75,5.5,0.533333333333333,NA,NA,1.8543,2.5493,197.654,1,0,1,1,0,1,1,1
"32",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38019465,NA,22404,0.6093,-0.6939,NA,NA,NA,NA,NA,NA,NA,NA,293.847,1,0,1,NA,0,NA,NA,NA
"33",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38009438,NA,41175,-0.8341,NA,-2.4162,4,4,0.416666666666667,-2.1154,-2.4981,-0.4982,-0.0865,420.514,1,NA,NA,1,1,1,0,0
