"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","pv5math"
"253","253",0,0,0,0,155,0,0,0.4828,1,0.249,0.0788,0.2905,-0.4247,1.4806,-0.782,0.58,5,0.5013,0.1038,0.9756,20.5,0.2927,1,0,3,-1.8174,-0.5311,7.561,50.9004815307921
"254","254",1,0,0,0,1570,0,1,0.7716,1,-1.0845,-0.1461,-1.165,-1.2228,0.9105,-0.7644,0.67,4,0.9328,0.2838,0.8466,176,0.5597,1,2,7,-0.3334,-1.4562,8.9205,45.4968465353138
"255","255",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2583182441775
"256","256",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2066969099607
"257","257",0,0,0,0,864,1,0,0.4651,1,1.1563,0.1895,0.7777,1.8133,1.4806,-0.5533,0.67,6,1.2485,0.4783,0.8621,87,0.3103,0.7593,2,4,-0.3334,0.6298,9.931,54.2849418057373
"258","258",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.2297526989824
"259","259",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3199369115045
"260","260",0,1,0,0,1090,0,0,0.1794,1,-0.4615,-0.3971,-0.1449,-0.1082,-0.2296,-0.782,0.5,3,1.1587,-0.5736,0.9063,80,0.2,0.9375,0,6,-0.3506,-0.2386,13.625,52.4203810424485
"261","261",0,0,0,0,374,0,0,0.5128,1,-1.4131,-1.7773,-1.6791,-1.1262,-0.7997,-0.782,0.42,2,-0.5885,0.0814,0.7692,84.5,0.2544,0.7442,3,7,0.0185,0.2229,4.426,58.4582992218104
"262","262",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4834551797404
